nominatim_place_id,city,lat,lon,feels_like.day,pop,temp_delta,pop_scaled,temp_delta_scaled,score_to_minimize,ranking
156094680,Mont Saint Michel,48.6359541,-1.511459954959514,27,0,2,0.0,0.125,0.125,1
297756747,St Malo,48.649518,-2.0260409,23,0,2,0.0,0.125,0.125,2
297981358,Bayeux,49.2764624,-0.7024738,23,0,2,0.0,0.125,0.125,3
298137491,Le Havre,49.4938975,0.1079732,23,1,2,0.016129032258064516,0.125,0.1411290322580645,4
297472400,Lille,50.6365654,3.0635282,26,9,1,0.14516129032258063,0.0,0.14516129032258063,5
120791766,Chateau du Haut Koenigsbourg,48.249489800000006,7.34429620253195,27,10,2,0.16129032258064516,0.125,0.28629032258064513,6
297534793,Amiens,49.8941708,2.2956951,27,13,2,0.2096774193548387,0.125,0.3346774193548387,7
297518815,Rouen,49.4404591,1.0939658,28,6,3,0.0967741935483871,0.25,0.3467741935483871,8
297653650,La Rochelle,46.1591126,-1.1520434,28,13,3,0.2096774193548387,0.25,0.4596774193548387,9
298011281,Saintes Maries de la mer,43.4522771,4.4287172,29,9,4,0.14516129032258063,0.375,0.5201612903225806,10
297668227,Besancon,47.2380222,6.0243622,29,12,4,0.1935483870967742,0.375,0.5685483870967742,11
297508568,Strasbourg,48.584614,7.7507127,30,7,5,0.11290322580645161,0.5,0.6129032258064516,12
297417241,Paris,48.8588897,2.3200410217200766,28,24,3,0.3870967741935484,0.25,0.6370967741935484,13
298516909,Biarritz,43.471143749999996,-1.552726590666314,26,41,1,0.6612903225806451,0.0,0.6612903225806451,14
297478568,Dijon,47.3215806,5.0414701,30,11,5,0.1774193548387097,0.5,0.6774193548387097,15
297763730,Marseille,43.2961743,5.3699525,31,5,6,0.08064516129032258,0.625,0.7056451612903226,16
297504747,Colmar,48.0777517,7.3579641,30,13,5,0.2096774193548387,0.5,0.7096774193548387,17
297869324,Eguisheim,48.0447968,7.3079618,30,13,5,0.2096774193548387,0.5,0.7096774193548387,18
298072685,Cassis,43.2140359,5.5396318,31,6,6,0.0967741935483871,0.625,0.7217741935483871,19
298271847,Bayonne,43.4945144,-1.4736657,27,40,2,0.6451612903225806,0.125,0.7701612903225806,20
298018344,Aigues Mortes,43.5658225,4.1912837,31,12,6,0.1935483870967742,0.625,0.8185483870967742,21
297906924,Aix en Provence,43.5298424,5.4474738,32,9,7,0.14516129032258063,0.75,0.8951612903225806,22
297681191,Lyon,45.7578137,4.8320114,31,17,6,0.27419354838709675,0.625,0.8991935483870968,23
297749145,Bormes les Mimosas,43.1506968,6.3419285,32,12,7,0.1935483870967742,0.75,0.9435483870967742,24
298516920,Annecy,45.8992348,6.1288847,30,30,5,0.4838709677419355,0.5,0.9838709677419355,25
76036307,Gorges du Verdon,43.7496562,6.3285616,29,38,4,0.6129032258064516,0.375,0.9879032258064516,26
297655586,Uzes,44.0121279,4.4196718,33,15,8,0.24193548387096775,0.875,1.1169354838709677,27
297389050,Ariege,42.9455368,1.4065544156065486,27,62,2,1.0,0.125,1.125,28
297768703,Avignon,43.9492493,4.8059012,34,10,9,0.16129032258064516,1.0,1.1612903225806452,29
298221742,Collioure,42.52505,3.0831554,32,27,7,0.43548387096774194,0.75,1.185483870967742,30
297997049,Nimes,43.8374249,4.3600687,34,12,9,0.1935483870967742,1.0,1.1935483870967742,31
297639071,Grenoble,45.1875602,5.7357819,32,30,7,0.4838709677419355,0.75,1.2338709677419355,32
298222566,Toulouse,43.6044622,1.4442469,33,36,8,0.5806451612903225,0.875,1.4556451612903225,33
297932490,Montauban,44.0175835,1.3549991,34,31,9,0.5,1.0,1.5,34
297466626,Carcassonne,43.2130358,2.3491069,33,39,8,0.6290322580645161,0.875,1.504032258064516,35
